ISO,Country,Data source,Sector,Gas,Unit,Year,Value
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2020,650.05
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2020,536.02
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2020,247.55
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2020,246.12
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2020,138.21
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2020,135.46
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2020,132.36
IDN,Indonesia,Climate Watch,Transportation,All GHG,MtCO₂e,2020,131.11
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2020,131.05
IDN,Indonesia,Climate Watch,Transportation,CO2,MtCO₂e,2020,126.42
IDN,Indonesia,Climate Watch,Energy,CH4,MtCO₂e,2020,107.18
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2020,33.92
IDN,Indonesia,Climate Watch,Industrial Processes,CO2,MtCO₂e,2020,27.18
IDN,Indonesia,Climate Watch,Energy,N2O,MtCO₂e,2020,6.85
IDN,Indonesia,Climate Watch,Transportation,N2O,MtCO₂e,2020,3.72
IDN,Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2020,3.7
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2020,2.75
IDN,Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2020,2.61
IDN,Indonesia,Climate Watch,Electricity/Heat,N2O,MtCO₂e,2020,1.19
IDN,Indonesia,Climate Watch,Transportation,CH4,MtCO₂e,2020,0.97
IDN,Indonesia,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2020,0.83
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,2020,0.49
IDN,Indonesia,Climate Watch,Industrial Processes,N2O,MtCO₂e,2020,0.43
IDN,Indonesia,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2020,0.24
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2019,697.34
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2019,575.13
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2019,247.51
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2019,246.12
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2019,136.02
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2019,133.3
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2019,148.33
IDN,Indonesia,Climate Watch,Transportation,All GHG,MtCO₂e,2019,154.24
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2019,147.01
IDN,Indonesia,Climate Watch,Transportation,CO2,MtCO₂e,2019,149.41
IDN,Indonesia,Climate Watch,Energy,CH4,MtCO₂e,2019,115.21
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2019,36.69
IDN,Indonesia,Climate Watch,Industrial Processes,CO2,MtCO₂e,2019,30.16
IDN,Indonesia,Climate Watch,Energy,N2O,MtCO₂e,2019,7.01
IDN,Indonesia,Climate Watch,Transportation,N2O,MtCO₂e,2019,3.78
IDN,Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2019,3.49
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2019,2.72
